gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
female,no,no,no,11,yes,no,dsl,yes,no,no,no,no,no,monthly,no,credit card,48.55,501.0
female,no,no,yes,48,no,no phone service,dsl,no,yes,yes,no,no,yes,monthly,no,credit card,45.55,2108.35
male,no,no,no,31,yes,yes,fiber optic,no,no,no,yes,no,no,one year,no,credit card,81.7,2548.65
male,no,no,no,63,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card,109.2,7049.75
female,yes,yes,yes,61,yes,yes,dsl,no,no,yes,no,yes,no,one year,yes,electronic check,65.2,3965.05
female,no,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,24.25,1784.5
female,no,yes,yes,53,yes,no,fiber optic,no,yes,yes,yes,yes,yes,monthly,yes,bank transfer,108.25,5935.1
female,yes,no,no,7,yes,no,dsl,yes,no,no,no,no,no,monthly,yes,electronic check,48.2,340.35
female,no,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,81.05,2227.1
female,no,no,no,16,yes,yes,fiber optic,no,no,no,no,no,no,monthly,no,electronic check,72.65,1194.3
female,no,no,yes,7,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,71.05,472.65
female,no,no,no,5,yes,yes,dsl,no,yes,no,no,no,yes,monthly,yes,electronic check,64.0,370.25
female,no,yes,yes,71,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,23.9,1663.5
male,no,yes,yes,7,no,no phone service,dsl,yes,no,no,yes,no,no,monthly,yes,electronic check,34.5,279.25
male,yes,no,no,11,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,monthly,yes,electronic check,111.4,1183.05
male,no,no,no,52,no,no phone service,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card,63.9,3334.95
female,no,no,no,49,yes,no,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer,67.4,3306.85
male,no,no,no,19,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,18.8,279.2
male,no,no,no,2,yes,no,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,80.95,171.15
male,no,yes,no,52,yes,yes,fiber optic,no,yes,no,yes,no,yes,monthly,yes,credit card,95.65,5088.4
male,no,yes,no,23,yes,yes,fiber optic,no,yes,yes,no,no,no,monthly,no,electronic check,84.25,1968.1
male,yes,no,no,8,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,69.7,572.85
female,yes,yes,yes,65,yes,yes,fiber optic,no,no,yes,yes,yes,yes,one year,yes,bank transfer,103.9,6767.1
male,no,no,yes,2,yes,no,dsl,no,no,no,no,no,yes,monthly,yes,electronic check,55.3,108.65
female,no,yes,no,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,23.65,1416.75
male,no,no,no,3,yes,no,fiber optic,no,no,yes,yes,yes,no,monthly,yes,mailed check,89.85,244.45
male,no,yes,yes,49,yes,yes,fiber optic,no,yes,yes,no,yes,no,one year,yes,electronic check,93.65,4520.15
female,no,no,yes,15,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,bank transfer,69.0,994.8
female,no,no,yes,41,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,20.25,865.0
female,yes,no,no,46,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,electronic check,104.45,4863.85
male,no,no,no,56,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,25.95,1444.05
male,no,no,no,48,yes,yes,fiber optic,yes,no,no,yes,no,yes,monthly,yes,electronic check,95.4,4445.3
male,no,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,mailed check,70.7,129.2
female,no,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,23.75,1679.25
male,no,yes,no,45,yes,no,dsl,yes,yes,yes,no,yes,yes,one year,no,bank transfer,78.8,3597.5
male,no,yes,yes,37,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card,62.8,2278.75
female,no,no,no,61,yes,yes,fiber optic,no,no,yes,no,no,yes,monthly,no,mailed check,89.2,5500.6
female,no,no,no,60,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.6,1093.0
female,yes,yes,no,2,yes,no,dsl,no,yes,no,no,no,no,monthly,no,credit card,50.15,115.1
female,no,yes,yes,63,yes,no,dsl,yes,yes,yes,yes,yes,no,two year,no,credit card,75.55,4707.85
female,yes,no,no,4,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,84.6,360.1
male,no,no,no,62,yes,yes,fiber optic,yes,yes,no,yes,no,yes,one year,no,electronic check,102.0,6529.25
female,no,no,no,62,yes,yes,fiber optic,yes,yes,yes,no,no,no,one year,yes,electronic check,92.05,5755.8
male,no,no,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,no,two year,yes,credit card,97.65,6743.55
female,no,no,no,4,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,105.65,443.9
female,no,yes,no,49,no,no phone service,dsl,no,yes,no,yes,yes,yes,one year,yes,credit card,56.3,2780.6
male,no,no,no,51,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,yes,credit card,81.15,4126.2
male,no,no,no,26,no,no phone service,dsl,yes,yes,no,no,no,yes,monthly,yes,bank transfer,44.65,1156.55
female,no,no,no,9,yes,no,dsl,no,no,no,no,no,no,monthly,yes,electronic check,43.75,405.7
female,no,no,no,57,yes,yes,fiber optic,no,yes,no,yes,no,yes,one year,no,electronic check,94.7,5468.95
female,no,yes,no,37,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,bank transfer,19.5,805.2
male,no,no,no,30,yes,no,fiber optic,no,yes,no,no,yes,yes,one year,yes,bank transfer,97.0,3021.3
female,yes,yes,yes,70,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,107.9,7475.85
male,no,no,yes,22,yes,no,fiber optic,no,yes,yes,no,yes,no,monthly,yes,electronic check,89.4,2001.5
male,no,no,no,39,no,no phone service,dsl,yes,yes,no,yes,yes,no,monthly,yes,credit card,48.95,1880.85
female,yes,yes,no,33,yes,yes,fiber optic,no,yes,no,no,no,no,monthly,yes,bank transfer,80.6,2656.5
male,no,no,no,60,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,credit card,116.6,7049.5
female,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,electronic check,19.45,19.45
female,no,yes,yes,12,yes,no,dsl,no,no,yes,no,yes,no,monthly,yes,credit card,58.35,740.55
female,no,yes,yes,51,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.95,1028.75
female,no,yes,yes,22,yes,no,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,80.15,1790.65
male,no,yes,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,18.8,18.8
male,no,yes,yes,39,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,no,electronic check,100.0,3835.55
female,no,no,no,4,yes,yes,fiber optic,no,yes,no,yes,no,yes,monthly,yes,electronic check,93.5,362.2
female,no,no,no,39,yes,no,fiber optic,no,no,yes,yes,no,no,two year,yes,electronic check,80.45,3201.55
male,yes,yes,no,69,yes,yes,fiber optic,yes,yes,no,no,no,no,monthly,yes,credit card,84.9,5785.65
male,yes,yes,no,8,yes,no,dsl,no,no,yes,yes,no,yes,monthly,yes,credit card,64.4,581.7
male,no,yes,no,68,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,25.05,1629.2
female,yes,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,electronic check,70.75,154.85
male,yes,yes,no,24,no,no phone service,dsl,yes,no,no,no,no,yes,monthly,no,bank transfer,39.1,971.3
female,no,yes,no,42,yes,yes,dsl,no,no,no,no,no,no,monthly,yes,electronic check,50.25,2203.65
female,no,yes,no,59,yes,yes,dsl,no,yes,no,yes,yes,yes,one year,yes,electronic check,80.1,4693.2
male,no,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,yes,monthly,no,electronic check,80.0,80.0
female,no,yes,yes,46,no,no phone service,dsl,yes,yes,no,no,no,no,monthly,no,bank transfer,35.05,1620.25
male,no,no,no,4,no,no phone service,dsl,no,no,yes,no,no,no,monthly,yes,electronic check,29.65,118.5
male,no,yes,yes,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,electronic check,20.45,250.8
male,no,yes,no,59,yes,no,dsl,yes,yes,yes,no,yes,no,one year,no,credit card,66.4,3958.2
female,no,yes,yes,53,yes,no,dsl,no,no,yes,no,no,yes,one year,no,credit card,60.6,3297.0
female,no,no,no,3,yes,no,dsl,no,no,no,no,yes,no,monthly,yes,electronic check,54.2,140.4
female,no,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,25.25,1841.2
male,no,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,18.95,185.6
male,no,yes,yes,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,20.8,469.65
female,yes,yes,no,45,yes,no,fiber optic,no,no,yes,no,no,yes,monthly,yes,electronic check,86.1,3861.45
female,no,yes,no,49,no,no phone service,dsl,yes,no,no,no,yes,no,monthly,no,bank transfer,40.65,2070.75
female,no,yes,no,61,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,24.4,1417.9
male,no,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,70.3,144.0
female,no,no,no,5,yes,no,fiber optic,no,no,no,yes,no,yes,monthly,yes,credit card,85.4,425.9
female,no,no,no,2,no,no phone service,dsl,yes,yes,no,no,no,yes,monthly,yes,electronic check,42.6,72.4
male,no,no,no,25,yes,yes,dsl,yes,yes,yes,yes,no,yes,monthly,no,bank transfer,81.75,2028.8
female,no,yes,no,60,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,electronic check,106.15,6411.25
male,no,yes,yes,51,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,one year,no,credit card,110.05,5686.4
male,no,yes,yes,2,yes,yes,dsl,yes,no,no,no,no,no,monthly,no,mailed check,56.7,113.55
male,yes,yes,no,62,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,103.75,6383.35
male,no,yes,no,52,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card,81.4,4354.45
male,no,no,no,68,yes,yes,dsl,yes,yes,yes,no,no,yes,one year,yes,credit card,76.9,5023.0
female,no,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,no,monthly,yes,bank transfer,84.15,1821.95
male,yes,yes,no,1,no,no phone service,dsl,no,no,no,no,no,no,monthly,no,electronic check,25.05,25.05
male,yes,no,no,3,no,no phone service,dsl,no,no,yes,no,no,yes,monthly,yes,electronic check,41.15,132.2
female,yes,no,no,16,yes,yes,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,96.4,1581.2
female,yes,no,no,32,yes,no,fiber optic,no,yes,no,no,no,no,monthly,yes,electronic check,74.4,2276.95
male,no,no,no,50,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,24.9,1195.25
male,no,yes,yes,1,yes,no,dsl,yes,no,no,no,no,no,monthly,yes,mailed check,48.75,48.75
female,no,no,no,6,yes,no,fiber optic,no,no,yes,no,no,yes,monthly,no,electronic check,83.9,497.55
male,no,no,no,1,yes,no,dsl,no,yes,no,no,no,no,monthly,yes,electronic check,50.75,50.75
female,no,yes,yes,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.2,558.8
male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,19.3,19.3
female,no,no,no,58,yes,no,fiber optic,no,no,no,yes,yes,yes,monthly,yes,electronic check,95.3,5817.7
male,yes,yes,yes,35,yes,no,dsl,no,yes,no,yes,yes,yes,monthly,yes,electronic check,76.05,2747.2
male,no,no,no,43,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.55,876.15
female,no,no,no,41,yes,no,dsl,no,no,no,yes,no,no,one year,no,bank transfer,50.05,2029.05
female,no,yes,yes,47,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,19.3,890.5
female,no,no,no,33,yes,yes,fiber optic,no,yes,no,no,yes,yes,monthly,yes,electronic check,100.0,3320.6
male,no,no,no,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,20.5,1430.95
female,no,yes,no,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,19.4,1496.45
male,no,yes,yes,50,yes,yes,dsl,no,no,yes,no,no,no,one year,no,bank transfer,54.9,2614.1
male,yes,yes,no,49,yes,no,dsl,no,yes,no,no,no,no,two year,no,mailed check,49.8,2398.4
male,no,no,no,4,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,74.35,265.35
male,no,yes,no,61,yes,no,fiber optic,no,yes,yes,yes,no,yes,monthly,no,credit card,94.15,5731.85
male,no,yes,yes,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,150.0
male,yes,no,no,14,yes,no,fiber optic,no,no,no,no,yes,yes,monthly,no,credit card,90.45,1266.1
female,no,yes,no,26,yes,no,dsl,no,yes,no,yes,yes,yes,monthly,yes,electronic check,73.05,1959.5
female,yes,no,no,35,yes,no,fiber optic,no,no,no,no,no,no,monthly,no,electronic check,70.55,2419.0
female,yes,yes,no,54,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,99.1,5437.1
female,no,no,no,8,yes,yes,fiber optic,no,no,no,no,yes,yes,monthly,no,bank transfer,95.65,778.1
male,no,no,yes,1,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,71.65,71.65
female,no,yes,yes,67,yes,yes,fiber optic,yes,no,yes,yes,no,yes,one year,yes,bank transfer,100.25,6689.0
female,no,no,yes,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,498.1
female,no,yes,yes,64,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,24.9,1595.5
female,yes,yes,yes,34,yes,yes,fiber optic,no,yes,no,no,no,no,monthly,yes,mailed check,79.6,2718.3
male,no,yes,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,19.9,153.95
female,no,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.2,123.65
male,no,no,no,13,yes,yes,fiber optic,no,no,no,yes,yes,yes,monthly,yes,mailed check,99.0,1301.7
male,no,yes,yes,62,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,24.25,1424.6
male,no,yes,no,34,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,electronic check,100.05,3480.0
male,no,no,no,9,yes,yes,fiber optic,no,yes,no,no,yes,yes,monthly,yes,credit card,99.3,918.75
male,no,no,no,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,20.3,467.15
male,no,no,yes,40,yes,no,dsl,yes,yes,no,no,no,no,monthly,yes,mailed check,55.25,2139.2
female,yes,yes,no,35,yes,yes,fiber optic,yes,yes,no,yes,yes,no,monthly,yes,bank transfer,100.5,3653.35
male,no,no,no,7,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,23.5,173.0
male,yes,no,no,32,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card,19.8,587.7
male,no,no,yes,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.75,1124.2
male,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.75,44.2
female,no,yes,no,56,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,no,bank transfer,103.2,5744.35
female,yes,yes,no,65,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,106.25,6979.8
female,no,yes,yes,28,yes,yes,dsl,no,no,no,no,no,no,monthly,no,mailed check,49.9,1410.25
male,no,no,no,18,yes,yes,dsl,yes,no,yes,no,yes,no,monthly,no,mailed check,69.5,1199.4
female,no,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card,90.55,6239.05
male,no,no,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer,88.6,6201.95
male,yes,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,76.45,76.45
male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.75,19.75
female,no,no,no,34,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.35,673.2
female,no,no,no,8,yes,yes,fiber optic,no,no,no,no,yes,no,monthly,yes,electronic check,87.05,762.1
female,no,no,no,47,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,electronic check,106.4,5127.95
female,no,yes,yes,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,24.05,1709.15
female,no,yes,yes,52,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,25.05,1270.25
male,no,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.85,64.55
female,no,yes,no,60,no,no phone service,dsl,yes,yes,no,yes,no,no,two year,no,bank transfer,37.7,2288.7
female,no,no,no,3,yes,yes,fiber optic,no,no,no,no,yes,yes,monthly,yes,electronic check,96.6,291.9
male,no,no,no,19,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,yes,bank transfer,86.0,1532.45
male,no,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,69.9,69.9
female,no,yes,no,6,yes,yes,fiber optic,no,yes,yes,no,yes,yes,monthly,yes,electronic check,105.3,545.2
male,no,yes,yes,49,yes,no,dsl,yes,yes,no,yes,no,no,monthly,no,credit card,59.6,2970.3
male,yes,no,no,22,yes,yes,fiber optic,no,no,no,yes,yes,no,monthly,yes,bank transfer,90.5,1910.6
female,no,yes,yes,42,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,19.05,761.85
male,yes,yes,no,46,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,electronic check,98.85,4564.9
male,no,no,no,68,no,no phone service,dsl,no,no,yes,no,no,yes,monthly,yes,bank transfer,39.9,2796.35
female,no,no,yes,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer,20.5,38.25
male,no,no,yes,0,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.25,0.0
female,no,yes,yes,35,yes,yes,dsl,yes,no,yes,yes,yes,no,monthly,no,electronic check,72.25,2568.55
female,no,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.5,27.55
male,no,yes,yes,68,yes,no,dsl,yes,yes,yes,yes,no,no,two year,no,credit card,62.65,4375.8
male,no,yes,no,16,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,75.4,1189.4
male,no,yes,no,72,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card,110.9,8240.85
male,no,yes,no,37,yes,yes,fiber optic,no,no,yes,yes,yes,no,two year,no,mailed check,94.3,3460.95
male,no,yes,yes,53,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,25.55,1336.1
female,no,no,no,40,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,no,bank transfer,83.85,3532.25
female,no,no,no,46,yes,yes,fiber optic,no,yes,yes,no,no,yes,one year,yes,electronic check,94.15,4408.45
male,no,no,no,3,yes,yes,fiber optic,no,no,yes,no,yes,yes,monthly,yes,electronic check,100.95,329.95
female,no,no,no,1,yes,no,fiber optic,no,no,yes,no,no,no,monthly,no,electronic check,75.3,75.3
male,no,no,no,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,electronic check,19.25,112.3
male,no,no,no,6,no,no phone service,dsl,no,yes,no,no,no,no,monthly,yes,credit card,30.5,208.7
male,no,no,no,46,yes,yes,fiber optic,yes,no,no,no,yes,no,monthly,yes,credit card,89.15,4245.55
female,no,yes,no,54,yes,yes,dsl,no,no,no,no,yes,yes,one year,yes,credit card,70.15,3715.65
male,yes,no,no,15,yes,no,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,79.4,1156.1
male,no,no,no,3,yes,yes,fiber optic,no,no,no,no,no,yes,monthly,yes,electronic check,85.3,264.8
male,no,yes,yes,70,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,20.05,1360.25
male,no,no,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,two year,no,mailed check,100.55,3895.35
male,no,yes,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.0,38.0
male,no,no,no,18,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,bank transfer,75.6,1395.05
male,yes,no,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,25.1,1789.9
male,no,no,yes,47,yes,no,dsl,yes,yes,no,no,no,no,monthly,yes,electronic check,55.3,2654.05
female,no,yes,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.9,400.3
male,no,yes,yes,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card,89.9,6457.15
male,no,no,no,8,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,74.85,572.45
female,no,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,19.9,1389.35
female,no,no,no,53,yes,no,fiber optic,no,yes,yes,yes,no,yes,one year,yes,credit card,94.45,5042.75
male,yes,yes,no,37,yes,no,fiber optic,no,no,no,no,no,no,monthly,yes,bank transfer,72.25,2575.45
male,no,yes,no,64,yes,yes,dsl,no,yes,no,yes,no,yes,one year,yes,mailed check,70.15,4480.7
male,no,no,yes,5,yes,no,dsl,no,no,no,yes,no,no,monthly,yes,bank transfer,48.65,235.2
female,no,no,no,60,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,no,electronic check,104.7,6333.8
male,no,no,no,2,yes,no,dsl,no,yes,no,no,no,no,monthly,yes,mailed check,50.3,92.75
female,no,no,no,25,no,no phone service,dsl,no,no,yes,yes,yes,yes,one year,no,electronic check,54.2,1423.15
female,no,yes,yes,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,19.7,113.5
male,no,yes,yes,60,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,electronic check,110.6,6586.85
female,no,no,no,30,yes,yes,fiber optic,no,yes,no,no,yes,yes,monthly,yes,electronic check,100.2,2983.8
male,no,no,no,67,no,no phone service,dsl,yes,no,yes,yes,yes,no,one year,yes,bank transfer,49.35,3321.35
male,no,no,no,53,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,bank transfer,24.05,1301.9
female,no,yes,yes,10,yes,no,dsl,no,no,yes,yes,no,no,monthly,no,credit card,55.2,528.35
female,no,no,no,1,yes,no,dsl,no,no,no,yes,no,no,monthly,yes,electronic check,52.2,52.2
male,no,yes,no,55,no,no phone service,dsl,no,no,yes,yes,yes,yes,monthly,yes,bank transfer,54.55,2978.3
female,no,no,no,70,yes,yes,dsl,yes,yes,yes,no,yes,yes,two year,no,mailed check,84.7,5991.05
female,no,yes,no,34,yes,no,dsl,no,no,no,yes,no,no,monthly,no,bank transfer,50.2,1815.3
female,no,no,no,68,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,no,credit card,110.25,7279.35
female,no,yes,no,59,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card,109.15,6557.75
female,no,no,no,9,yes,no,fiber optic,yes,no,no,no,no,no,monthly,yes,electronic check,74.85,708.2
male,no,no,no,6,yes,no,fiber optic,no,no,no,no,yes,no,monthly,yes,credit card,80.5,463.05
male,no,yes,no,50,yes,yes,fiber optic,yes,no,yes,no,yes,yes,one year,yes,electronic check,103.95,5231.3
female,yes,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card,92.45,6440.25
male,yes,yes,no,41,no,no phone service,dsl,no,yes,yes,no,yes,yes,monthly,yes,electronic check,53.95,2215.4
male,no,no,no,4,yes,no,dsl,no,no,no,yes,no,no,monthly,yes,mailed check,50.8,202.3
male,no,yes,yes,47,no,no phone service,dsl,yes,no,yes,yes,no,no,one year,no,electronic check,40.3,1794.8
male,no,yes,yes,62,yes,yes,fiber optic,yes,yes,no,no,yes,no,one year,yes,credit card,94.95,5791.85
female,no,yes,yes,18,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,no,mailed check,20.45,357.0
female,no,yes,no,3,yes,yes,fiber optic,no,no,no,no,no,no,monthly,yes,electronic check,75.85,256.6
male,no,no,no,65,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,25.1,1725.0
male,no,yes,no,59,yes,yes,fiber optic,no,no,no,no,no,yes,one year,no,electronic check,85.55,5084.65
female,no,no,no,60,yes,no,dsl,no,yes,yes,yes,yes,no,one year,yes,credit card,70.15,4224.7
female,no,no,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,monthly,yes,mailed check,20.55,187.35
male,no,yes,yes,7,no,no phone service,dsl,yes,yes,yes,no,no,no,two year,no,mailed check,38.55,280.0
male,no,no,no,28,yes,no,fiber optic,no,no,yes,yes,no,yes,monthly,no,electronic check,91.0,2626.15
male,yes,yes,no,29,yes,yes,fiber optic,no,no,no,yes,no,no,monthly,yes,electronic check,79.3,2414.55
male,no,yes,yes,0,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,19.7,0.0
female,no,no,no,37,yes,yes,dsl,yes,no,no,no,yes,no,one year,no,bank transfer,64.65,2347.85
female,no,yes,yes,45,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer,24.65,1138.8
male,no,yes,no,61,yes,yes,dsl,no,yes,yes,no,yes,yes,one year,yes,electronic check,79.8,4914.8
